Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category
RT (V1.1)  - Deposit adds incorrect amount of funds to money market,GD438-35,10034,Task,In Progress,GD438,438 Assignment 1,software,Jack Barrie,63d19e42ed33fd0707b90a2a,,Medium,,,,Jack Barrie,63d19e42ed33fd0707b90a2a,Jack Barrie,63d19e42ed33fd0707b90a2a,26/Jan/23 2:49 PM,26/Jan/23 2:50 PM,26/Jan/23 7:13 PM,,,,0,,"Input:

Login with card 2, select deposit, deposit $20

Expected output:

System prints receipt and adds $20 to money market

Actual Output:

System adds $19.90 to account",,Jack Barrie,63d19e42ed33fd0707b90a2a,,,,,,,,,,GD438-23,,,,,,,,,,,,,,,,,0|hzzzzt:,,,,,,,,,,,In Progress
RT (V1.1) - Deposit adds incorrect amount of funds to chequing account,GD438-34,10033,Task,In Progress,GD438,438 Assignment 1,software,Jack Barrie,63d19e42ed33fd0707b90a2a,,Medium,,,,Jack Barrie,63d19e42ed33fd0707b90a2a,Jack Barrie,63d19e42ed33fd0707b90a2a,26/Jan/23 2:48 PM,26/Jan/23 2:48 PM,26/Jan/23 7:13 PM,,,,0,,"Input:

Login, select deposit, select chequing, deposit $100

Expected output:

System accepts funds and adds $100 to chequing account

Actual Output:

System adds $99.90 to chequing account",,Jack Barrie,63d19e42ed33fd0707b90a2a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzv:,,,,,,,,,,,In Progress
ET (V1.0) Transfer - Making a transfer to or from money market account,GD438-33,10032,Task,In Progress,GD438,438 Assignment 1,software,Jack Barrie,63d19e42ed33fd0707b90a2a,,Medium,,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,26/Jan/23 11:11 AM,26/Jan/23 11:40 AM,26/Jan/23 7:13 PM,,1.0,,0,,"Initial state of the system: System is displaying amount to be transferred.

Input: Enter amount to be transferred.

Expected outcome: System should transfer the correct amount to the money market account and display a receipt to show the transaction between the correct accounts involved

Acutal outcome: System gives error message; “Invalid account type“",,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006n:,,,,,,,,,,26/Jan/23 11:30 AM;63c9bb8fd7f68827e6b65911;Defect still exists in version 1.1,In Progress
ET (V1.0) Transfer - System transfers wrong amount. Fixed in version 1.1,GD438-31,10030,Task,Done,GD438,438 Assignment 1,software,Jack Barrie,63d19e42ed33fd0707b90a2a,,Medium,Done,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,26/Jan/23 11:08 AM,26/Jan/23 12:16 PM,26/Jan/23 7:13 PM,26/Jan/23 11:33 AM,1.0,,0,,"Initial state of the system: System is displaying amount to be transferred to

Input: Enter amount to be transferred

Expected Outcome: System should transfer the correct amount between accounts and display a receipt to show the transaction between the correct accounts involved.

Actual Outcome: System transfers wrong amount($0.5 less) to the expected account. System also displays wrong To and From account information on receipt.",,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00067:,,,,,,,,,,26/Jan/23 11:33 AM;63c9bb8fd7f68827e6b65911;Fixed in version 1.1,Done
ET (V1.0) Inquiry - Making inquiry on the money market account,GD438-30,10029,Task,In Progress,GD438,438 Assignment 1,software,Jack Barrie,63d19e42ed33fd0707b90a2a,,Medium,,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,26/Jan/23 11:05 AM,26/Jan/23 11:40 AM,26/Jan/23 7:13 PM,,1.0,,0,,"Initial System State: System is displaying a menu of account types to inquire from

Input: Select Money Market account

Expected Outcome: System should print a correct receipt showing the current balance of the Money Market account

Actual Outcome: System shows “Unknown Error“ message  and displays a receipt with the balance of the Savings account instead of the money market account.",,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005z:,,,,,,,,,,26/Jan/23 11:33 AM;63c9bb8fd7f68827e6b65911;Defect still exists in version 1.1,In Progress
ET (V1.0) Inquiry - System should display all three accounts to inquire from but only displays two accounts. Fixed in version 1.1,GD438-28,10027,Task,Done,GD438,438 Assignment 1,software,Jack Barrie,63d19e42ed33fd0707b90a2a,,Medium,Done,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,26/Jan/23 11:01 AM,26/Jan/23 12:16 PM,26/Jan/23 7:13 PM,26/Jan/23 11:29 AM,1.0,,0,,"Input: Choose Balance Inquiry

Expected Outcome: System should display three accounts to select from.(Checking, Savings and Money Market)

Actual Outcome: System only displays Checking and Money Market accounts",,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005j:,,,,,,,,,,26/Jan/23 11:29 AM;63c9bb8fd7f68827e6b65911;Fixed in version 1.1,Done
V1.0 MFT Transfer - System should perform a legitimate transfer transaction properly. Fixed in version 1.1,GD438-26,10025,Task,Done,GD438,438 Assignment 1,software,Jack Barrie,63d19e42ed33fd0707b90a2a,,Medium,Done,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,26/Jan/23 10:56 AM,26/Jan/23 12:15 PM,26/Jan/23 7:13 PM,26/Jan/23 11:34 AM,1.0,,0,,"Input: Enter a legitimate dollar amount.

Actual Outcome: System accepted envelop; However, the system prints a wrong receipt showing a wrong amount($10 less) deposited into the chosen account.

Expected Outcome: System performs a legitimate transfer transaction.

Tried to transfer $20 from checking to savings account but the system only transfers $19.5. System also shows a wrong receipt showing From: Savings to: Checking instead of Checking to Savings.

!image-20230126-175624.png|width=850,height=553!",,Dyenaan Dapoet,63c9bb8fd7f68827e6b65911,,,,,,,,,,,26/Jan/23 10:56 AM;ug:20aeb5f8-3247-4257-920a-dff7675da6d1;image-20230126-175624.png;https://jackbarrie1341.atlassian.net/secure/attachment/10003/image-20230126-175624.png,,,,,,,,,,,,,,,,0|i00053:,,,,,,,,,,26/Jan/23 11:34 AM;63c9bb8fd7f68827e6b65911;Fixed in version 1.1,Done
ET (V1.0)- System fails to deposit money into savings account,GD438-25,10024,Task,In Progress,GD438,438 Assignment 1,software,Jack Barrie,63d19e42ed33fd0707b90a2a,,Medium,,Esohe Aideyan,63d016ba0d930a766df0523b,Esohe Aideyan,63d016ba0d930a766df0523b,Esohe Aideyan,63d016ba0d930a766df0523b,25/Jan/23 7:39 PM,26/Jan/23 12:26 PM,26/Jan/23 7:13 PM,,,,0,,"Input: Login with card 1, select deposit option and then savings account, user enters dollar amount to deposit ($200)

Actual: System displayed correct amount requested to deposit, however total balance amount was off by $10 and available amount displayed was incorrect

Expected: System should display “click to insert envelope” option and then provide a receipt of transaction and then ask the user if they would like to perform another transaction or not

V1.1:

Actual: System displayed correct amount requested to deposit on the receipt, however total balance amount was off by $0.1 (10 cents).",,Esohe Aideyan,63d016ba0d930a766df0523b,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:,,,,,,,,,,,In Progress
(V1.0) - System not accepting correct pin immediately after initially entering incorrect pin,GD438-24,10023,Task,In Progress,GD438,438 Assignment 1,software,Jack Barrie,63d19e42ed33fd0707b90a2a,,Medium,,Tamunomiete Brown,63d1dfe1c7e5fd35203beac7,Tamunomiete Brown,63d1dfe1c7e5fd35203beac7,Tamunomiete Brown,63d1dfe1c7e5fd35203beac7,25/Jan/23 7:37 PM,26/Jan/23 4:44 PM,26/Jan/23 7:13 PM,,,,0,,"Input: Enter a correct pin when asked to re-enter pin

Actual Outcome: System asks to enter the correct pin again

Expected Outcome: Original transaction completes successfully",,Tamunomiete Brown,63d1dfe1c7e5fd35203beac7,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004n:,,,,,,,,,,,In Progress
MFT (V1.0)  - Deposit adds incorrect amount of funds to money market,GD438-23,10022,Task,In Progress,GD438,438 Assignment 1,software,Jack Barrie,63d19e42ed33fd0707b90a2a,,Medium,,,,Jack Barrie,63d19e42ed33fd0707b90a2a,Jack Barrie,63d19e42ed33fd0707b90a2a,25/Jan/23 7:36 PM,26/Jan/23 2:50 PM,26/Jan/23 2:48 PM,,,,0,,"Input:

Login with card 2, select deposit, deposit $20

Expected output:

System prints receipt and adds $20 to money market

Actual Output:

System adds $10 to account",,Jack Barrie,63d19e42ed33fd0707b90a2a,,,,,,,,,GD438-35,,,,,,,,,,,,,,,,,,0|hzzzzl:,,,,,,,,,,,In Progress
